id,col_3,col_4,col_5,col_5_英語,card_name_英語,image_url_英語,col_5_韓国語,card_name_韓国語,image_url_韓国語,col_5_中国語,card_name_中国語,image_url_中国語,col_5_フランス語,card_name_フランス語,image_url_フランス語,col_5_スペイン語,card_name_スペイン語,image_url_スペイン語,col_5_ドイツ語,card_name_ドイツ語,image_url_ドイツ語
4513,A4,156/161,A4-156,A4-156,Will,https://assets.tcgdex.net/en/tcgp/A4/156/low.webp,A4-156,일목,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/156.webp,A4-156,一树,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/156.webp,A4-156,Clément,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/156.webp,A4-156,Mento,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/156.webp,A4-156,Willi,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/156.webp
4514,A4,155/161,A4-155,A4-155,Rescue Scarf,https://assets.tcgdex.net/en/tcgp/A4/155/low.webp,A4-155,레스큐 스카프,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/155.webp,A4-155,救援领巾,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/155.webp,A4-155,Foulard de Sauvetage,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/155.webp,A4-155,Bufanda Rescatadora,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/155.webp,A4-155,Rettender Schal,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/155.webp
4515,A4,154/161,A4-154,A4-154,Dark Pendant,https://assets.tcgdex.net/en/tcgp/A4/154/low.webp,A4-154,다크펜던트,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/154.webp,A4-154,暗黑吊坠,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/154.webp,A4-154,Pendentif des Ténèbres,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/154.webp,A4-154,Colgante Sombrío,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/154.webp,A4-154,Dunkler Anhänger,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/154.webp
4516,A4,153/161,A4-153,A4-153,Steel Apron,https://assets.tcgdex.net/en/tcgp/A4/153/low.webp,A4-153,강철 앞치마,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/153.webp,A4-153,钢铁前挂,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/153.webp,A4-153,Tablier d'Acier,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/153.webp,A4-153,Peto de Acero,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/153.webp,A4-153,Stählerne Schürze,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/153.webp
4517,A4,152/161,A4-152,A4-152,Squirt Bottle,https://assets.tcgdex.net/en/tcgp/A4/152/low.webp,A4-152,꼬부기물뿌리개,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/152.webp,A4-152,杰尼龟喷壶,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/152.webp,A4-152,Carapuce à O,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/152.webp,A4-152,Squirgadera,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/152.webp,A4-152,Schiggykanne,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/152.webp
4518,A4,151/161,A4-151,A4-151,Elemental Switch,https://assets.tcgdex.net/en/tcgp/A4/151/low.webp,A4-151,엘리멘탈 갈아 달기,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/151.webp,A4-151,元素置换,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/151.webp,A4-151,Échange Élémentaire,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/151.webp,A4-151,Permuta Elemental,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/151.webp,A4-151,Elementartausch,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/151.webp
4519,A4,150/161,A4-150,A4-150,Bouffalant,https://assets.tcgdex.net/en/tcgp/A4/150/low.webp,A4-150,버프론,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/150.webp,A4-150,爆爆頭水牛,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/150.webp,A4-150,Frison,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/150.webp,A4-150,Bouffalant,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/150.webp,A4-150,Bisofank,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/150.webp
4520,A4,149/161,A4-149,A4-149,Lugia ex,https://assets.tcgdex.net/en/tcgp/A4/149/low.webp,A4-149,루기아 ex,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/149.webp,A4-149,洛奇亞 ex,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/149.webp,A4-149,Lugia ex,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/149.webp,A4-149,Lugia ex,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/149.webp,A4-149,Lugia ex,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/149.webp
4521,A4,148/161,A4-148,A4-148,Smeargle,https://assets.tcgdex.net/en/tcgp/A4/148/low.webp,A4-148,루브도,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/148.webp,A4-148,圖圖犬,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/148.webp,A4-148,Queulorior,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/148.webp,A4-148,Smeargle,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/148.webp,A4-148,Farbeagle,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/148.webp
4522,A4,147/161,A4-147,A4-147,Stantler,https://assets.tcgdex.net/en/tcgp/A4/147/low.webp,A4-147,노라키,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/147.webp,A4-147,驚角鹿,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/147.webp,A4-147,Cerfrousse,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/147.webp,A4-147,Stantler,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/147.webp,A4-147,Damhirplex,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/147.webp
4523,A4,146/161,A4-146,A4-146,Ursaring,https://assets.tcgdex.net/en/tcgp/A4/146/low.webp,A4-146,링곰,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/146.webp,A4-146,圈圈熊,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/146.webp,A4-146,Ursaring,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/146.webp,A4-146,Ursaring,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/146.webp,A4-146,Ursaring,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/146.webp
4524,A4,145/161,A4-145,A4-145,Teddiursa,https://assets.tcgdex.net/en/tcgp/A4/145/low.webp,A4-145,깜지곰,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/145.webp,A4-145,熊寶寶,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/145.webp,A4-145,Teddiursa,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/145.webp,A4-145,Teddiursa,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/145.webp,A4-145,Teddiursa,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/145.webp
4525,A4,144/161,A4-144,A4-144,Dunsparce,https://assets.tcgdex.net/en/tcgp/A4/144/low.webp,A4-144,노고치,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/144.webp,A4-144,土龍弟弟,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/144.webp,A4-144,Insolourdo,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/144.webp,A4-144,Dunsparce,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/144.webp,A4-144,Dummisel,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/144.webp
4526,A4,143/161,A4-143,A4-143,Ambipom,https://assets.tcgdex.net/en/tcgp/A4/143/low.webp,A4-143,겟핸보숭,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/143.webp,A4-143,雙尾怪手,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/143.webp,A4-143,Capidextre,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/143.webp,A4-143,Ambipom,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/143.webp,A4-143,Ambidiffel,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/143.webp
4527,A4,142/161,A4-142,A4-142,Aipom,https://assets.tcgdex.net/en/tcgp/A4/142/low.webp,A4-142,에이팜,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/142.webp,A4-142,長尾怪手,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/142.webp,A4-142,Capumain,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/142.webp,A4-142,Aipom,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/142.webp,A4-142,Griffel,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/142.webp
4528,A4,141/161,A4-141,A4-141,Noctowl,https://assets.tcgdex.net/en/tcgp/A4/141/low.webp,A4-141,야부엉,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/141.webp,A4-141,貓頭夜鷹,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/141.webp,A4-141,Noarfang,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/141.webp,A4-141,Noctowl,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/141.webp,A4-141,Noctuh,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/141.webp
4529,A4,140/161,A4-140,A4-140,Hoothoot,https://assets.tcgdex.net/en/tcgp/A4/140/low.webp,A4-140,부우부,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/140.webp,A4-140,咕咕,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/140.webp,A4-140,Hoothoot,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/140.webp,A4-140,Hoothoot,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/140.webp,A4-140,Hoothoot,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/140.webp
4530,A4,139/161,A4-139,A4-139,Furret,https://assets.tcgdex.net/en/tcgp/A4/139/low.webp,A4-139,다꼬리,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/ko_KR/139.webp,A4-139,大尾立,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/zh_TW/139.webp,A4-139,Fouinar,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/fr_FR/139.webp,A4-139,Furret,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/es_ES/139.webp,A4-139,Wiesenior,https://ptcgp-tracker.com/sites/default/files/wisdom_of_sea_and_sky/cards/de_DE/139.webp
