id,col_3,col_4,col_5
3609,A2,104/155,A2-104
3610,A2,103/155,A2-103
3611,A2,102/155,A2-102
3612,A2,101/155,A2-101
3613,A2,100/155,A2-100
3614,A2,099/155,A2-099
3615,A2,098/155,A2-098
3616,A2,097/155,A2-097
3617,A2,096/155,A2-096
3618,A2,095/155,A2-095
3619,A2,094/155,A2-094
3620,A2,093/155,A2-093
3621,A2,092/155,A2-092
3622,A2,091/155,A2-091
3623,A2,090/155,A2-090
3624,A2,089/155,A2-089
3625,A2,088/155,A2-088
3626,A2,087/155,A2-087
3627,A2,086/155,A2-086
3628,A2,085/155,A2-085
3629,A2,084/155,A2-084
3630,A2,083/155,A2-083
3631,A2,082/155,A2-082
3632,A2,081/155,A2-081
3633,A2,080/155,A2-080
3634,A2,079/155,A2-079
3635,A2,078/155,A2-078
3636,A2,077/155,A2-077
3637,A2,076/155,A2-076
3638,A2,075/155,A2-075
3639,A2,074/155,A2-074
3640,A2,073/155,A2-073
3641,A2,072/155,A2-072
3642,A2,071/155,A2-071
3643,A2,070/155,A2-070
3644,A2,069/155,A2-069
3645,A2,068/155,A2-068
3646,A2,067/155,A2-067
3647,A2,066/155,A2-066
3648,A2,065/155,A2-065
3649,A2,064/155,A2-064
3650,A2,063/155,A2-063
3651,A2,062/155,A2-062
3652,A2,061/155,A2-061
3653,A2,060/155,A2-060
3654,A2,059/155,A2-059
3655,A2,058/155,A2-058
3656,A2,057/155,A2-057
3657,A2,056/155,A2-056
3658,A2,055/155,A2-055
3659,A2,054/155,A2-054
3660,A2,053/155,A2-053
3661,A2,052/155,A2-052
3662,A2,051/155,A2-051
3663,A2,050/155,A2-050
3664,A2,049/155,A2-049
3665,A2,048/155,A2-048
3666,A2,047/155,A2-047
3667,A2,046/155,A2-046
3668,A2,045/155,A2-045
3669,A2,044/155,A2-044
3670,A2,043/155,A2-043
3671,A2,042/155,A2-042
3672,A2,041/155,A2-041
3673,A2,040/155,A2-040
3674,A2,039/155,A2-039
3675,A2,038/155,A2-038
3676,A2,037/155,A2-037
3677,A2,036/155,A2-036
3678,A2,035/155,A2-035
3679,A2,034/155,A2-034
3680,A2,033/155,A2-033
3681,A2,032/155,A2-032
3682,A2,031/155,A2-031
3683,A2,030/155,A2-030
3684,A2,029/155,A2-029
3685,A2,028/155,A2-028
3686,A2,027/155,A2-027
3687,A2,026/155,A2-026
3688,A2,025/155,A2-025
3689,A2,024/155,A2-024
3690,A2,023/155,A2-023
3691,A2,022/155,A2-022
3692,A2,021/155,A2-021
3693,A2,020/155,A2-020
3694,A2,019/155,A2-019
3695,A2,018/155,A2-018
3696,A2,017/155,A2-017
3697,A2,016/155,A2-016
3698,A2,015/155,A2-015
3699,A2,014/155,A2-014
3700,A2,013/155,A2-013
3701,A2,012/155,A2-012
3702,A2,011/155,A2-011
3703,A2,010/155,A2-010
3704,A2,009/155,A2-009
3705,A2,008/155,A2-008
3706,A2,007/155,A2-007
3707,A2,006/155,A2-006
3708,A2,005/155,A2-005
3709,A2,004/155,A2-004
3710,A2,003/155,A2-003
3711,A2,002/155,A2-002
3712,A2,001/155,A2-001
3713,PROMO-A,038/P-A,P-A-038
3714,PROMO-A,037/P-A,P-A-037
3715,PROMO-A,039/P-A,P-A-039
3716,PROMO-A,041/P-A,P-A-041
3717,PROMO-A,036/P-A,P-A-036
3718,PROMO-A,034/P-A,P-A-034
3719,PROMO-A,040/P-A,P-A-040
3720,PROMO-A,035/P-A,P-A-035
3721,A2a,096/075,A2a-096
3722,A2a,095/075,A2a-095
3723,A2a,094/075,A2a-094
3724,A2a,093/075,A2a-093
3725,A2a,092/075,A2a-092
3726,A2a,091/075,A2a-091
3727,A2a,090/075,A2a-090
3728,A2a,089/075,A2a-089
3729,A2a,088/075,A2a-088
3730,A2a,087/075,A2a-087
3731,A2a,086/075,A2a-086
3732,A2a,085/075,A2a-085
3733,A2a,084/075,A2a-084
3734,A2a,083/075,A2a-083
3735,A2a,082/075,A2a-082
3736,A2a,081/075,A2a-081
3737,A2a,080/075,A2a-080
3738,A2a,079/075,A2a-079
3739,A2a,078/075,A2a-078
3740,A2a,077/075,A2a-077
3741,A2a,076/075,A2a-076
3742,A2a,075/075,A2a-075
3743,A2a,074/075,A2a-074
3744,A2a,073/075,A2a-073
3745,A2a,072/075,A2a-072
3746,A2a,071/075,A2a-071
3747,A2a,070/075,A2a-070
3748,A2a,069/075,A2a-069
3749,A2a,068/075,A2a-068
3750,A2a,067/075,A2a-067
3751,A2a,066/075,A2a-066
3752,A2a,065/075,A2a-065
3753,A2a,064/075,A2a-064
3754,A2a,063/075,A2a-063
3755,A2a,062/076,A2a-062
3756,A2a,061/075,A2a-061
3757,A2a,060/075,A2a-060
3758,A2a,059/075,A2a-059
3759,A2a,058/075,A2a-058
3760,A2a,057/075,A2a-057
3761,A2a,056/075,A2a-056
3762,A2a,055/075,A2a-055
3763,A2a,054/075,A2a-054
